timestamp,IRR,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,temp,vento_dir,vento_vel,rainfall,P_AC,I_AC,I_DC,V_AC,V_DC,hour,dayofweek,predicted_P_AC
2019-11-20 00:01:00,0,3.98,0.13,0.0,0.0,32.83,0.09,0.0,0.0,0.46,24.44,45,9.31,0.0,0,0.09,0.0,213.7,40.2,0,2,
2019-11-20 00:02:00,0,3.12,0.1,0.0,0.0,25.77,0.07,0.0,0.0,0.46,24.38,0,5.32,0.0,0,0.09,0.0,213.7,40.2,0,2,
2019-11-20 00:03:00,0,3.64,0.12,0.0,0.0,30.01,0.08,0.0,0.0,0.46,24.38,90,2.66,0.0,0,0.09,0.0,213.7,40.2,0,2,
2019-11-20 00:04:00,0,3.47,0.12,0.0,0.0,28.62,0.08,0.0,0.0,0.47,24.5,0,10.64,0.0,0,0.09,0.0,213.7,40.4,0,2,
2019-11-20 00:05:00,0,3.37,0.11,0.0,0.0,27.84,0.08,0.0,0.0,0.48,24.62,0,13.3,0.0,0,0.09,0.0,213.7,40.4,0,2,
2019-11-20 00:06:00,0,3.7,0.12,0.0,0.0,30.54,0.08,0.0,0.0,0.46,24.62,45,3.99,0.0,0,0.09,0.0,213.7,40.6,0,2,
2019-11-20 00:07:00,0,3.21,0.11,0.0,0.0,26.52,0.07,0.0,0.0,0.45,24.31,45,5.32,0.0,0,0.09,0.0,213.7,40.6,0,2,
2019-11-20 00:08:00,0,3.59,0.12,0.0,0.0,29.61,0.08,0.0,0.0,0.45,24.44,90,5.32,0.0,0,0.09,0.0,213.7,40.8,0,2,
2019-11-20 00:09:00,0,4.07,0.14,0.0,0.0,33.6,0.09,0.0,0.0,0.45,24.5,0,13.3,0.0,0,0.09,0.0,213.7,40.8,0,2,
2019-11-20 00:10:00,0,3.6,0.12,0.0,0.0,29.71,0.08,0.0,0.0,0.45,24.5,90,3.99,0.0,0,0.09,0.0,213.7,40.7,0,2,
2019-11-20 00:11:00,0,3.21,0.11,0.0,0.0,26.47,0.07,0.0,0.0,0.45,24.5,45,10.64,0.0,0,0.09,0.0,213.7,40.7,0,2,
2019-11-20 00:12:00,0,4.0,0.13,0.0,0.0,32.97,0.09,0.0,0.0,0.45,24.62,90,3.99,0.0,0,0.09,0.0,213.7,40.9,0,2,
2019-11-20 00:13:00,0,3.07,0.1,0.0,0.0,25.31,0.07,0.0,0.0,0.45,24.5,135,6.65,0.0,0,0.09,0.0,213.7,40.9,0,2,
2019-11-20 00:14:00,0,3.55,0.12,0.0,0.0,29.27,0.08,0.0,0.0,0.45,24.56,90,5.32,0.0,0,0.09,0.0,213.7,41.2,0,2,
2019-11-20 00:15:00,0,3.81,0.13,0.0,0.0,31.45,0.09,0.0,0.0,0.45,24.31,90,5.32,0.0,0,0.09,0.0,213.7,41.2,0,2,
2019-11-20 00:16:00,0,3.64,0.12,0.0,0.0,30.03,0.08,0.0,0.0,0.46,24.12,45,5.32,0.0,0,0.09,0.0,213.7,41.3,0,2,
2019-11-20 00:17:00,0,4.36,0.15,0.0,0.0,35.98,0.1,0.0,0.0,0.44,24.25,45,9.31,0.0,0,0.09,0.0,213.7,41.3,0,2,
2019-11-20 00:18:00,0,3.84,0.13,0.0,0.0,31.66,0.09,0.0,0.0,0.45,24.31,90,6.65,0.0,0,0.09,0.0,213.7,41.4,0,2,
2019-11-20 00:19:00,0,3.96,0.13,0.0,0.0,32.67,0.09,0.0,0.0,0.46,24.19,45,1.33,0.0,0,0.09,0.0,213.7,41.4,0,2,
2019-11-20 00:20:00,0,3.61,0.12,0.0,0.0,29.74,0.08,0.0,0.0,0.46,24.12,45,0.0,0.0,0,0.09,0.0,213.7,41.4,0,2,
2019-11-20 00:21:00,0,4.67,0.16,0.0,0.0,38.52,0.11,0.0,0.0,0.46,24.31,45,13.3,0.0,0,0.09,0.0,213.7,41.4,0,2,
2019-11-20 00:22:00,0,4.06,0.13,0.0,0.0,33.47,0.09,0.0,0.0,0.46,24.31,335,5.32,0.0,0,0.09,0.0,213.7,41.5,0,2,
2019-11-20 00:23:00,0,4.13,0.14,0.0,0.0,34.06,0.09,0.0,0.0,0.46,24.19,45,5.32,0.0,0,0.09,0.0,213.7,41.5,0,2,
2019-11-20 00:24:00,0,3.91,0.13,0.0,0.0,32.27,0.09,0.0,0.0,0.48,24.44,0,7.98,0.0,0,0.09,0.0,213.7,41.6,0,2,-30.098741948604584
2019-11-20 00:25:00,0,4.31,0.14,0.0,0.0,35.52,0.1,0.0,0.0,0.47,24.44,135,2.66,0.0,0,0.09,0.0,213.7,41.6,0,2,-34.89262014627457
